band,x,y,spatial_ref,admin_commune_2024_10m_b1,admin_quartiers_2024_10m_b1,air_temperature_2017_month_mean_10m_b12,dem_2019_10m_b1,dem_aspect_2019_10m_b1,dem_slope_2019_10m_b1,dem_surface_model_2019_10m_b1,flood_map_2021_10m_b1,hrl_treecover_2018_10m_b1,land_cover_2021_10m_b1,land_use_07_15_18_21_10m_b4,pH_CaCl_10m_b1,protected_areas_2023_10m_b1,public_forests_2024_10m_b1,shadow_2019_10m_b1,soil_map_25000_10m_main_classes_b1,soil_nitrat_10m_b1,twi_2019_10m_b1,Heracleum Mantegazzianum
1,76835.0,78245.0,0,35.0,1.0,289.0913,305.0,74.74488,23.149893,337.65805,0.0,85.0,70.0,313.0,5.3613386,0.0,1.0,0.58468944,5.0,2.197871,0.16828549,False
1,76835.0,74245.0,0,61.0,10.0,291.035,266.0,225.0,6.0544987,270.5536,0.0,0.0,20.0,612.0,5.925163,0.0,-3.4028235e+38,0.54972047,5.0,2.0221314,0.21040031,False
1,76835.0,74785.0,0,61.0,14.0,289.48108,272.0,135.0,8.049468,279.23373,0.0,66.0,10.0,111.0,5.325632,0.0,-3.4028235e+38,0.63521343,5.0,1.933569,0.1759093,False
1,76835.0,75495.0,0,75.0,26.0,289.3499,306.0,225.0,3.0357237,311.08975,0.0,79.0,20.0,133.0,5.28407,0.0,-3.4028235e+38,0.68140674,5.0,2.3441844,0.21223752,False
1,76835.0,75005.0,0,75.0,26.0,290.92688,296.0,261.8699,5.051152,307.70758,0.0,77.0,70.0,133.0,5.2610993,0.0,-3.4028235e+38,0.78834593,5.0,2.0685418,0.19164787,False
1,76835.0,75155.0,0,75.0,26.0,290.11823,299.0,-9999.0,0.0,316.4286,0.0,0.0,10.0,111.0,5.2557015,0.0,-3.4028235e+38,0.40320015,5.0,2.1424546,0.22587836,False
1,76835.0,77015.0,0,35.0,9.0,289.72485,255.0,180.0,5.710593,271.23236,0.0,72.0,20.0,612.0,5.4605947,0.0,-3.4028235e+38,0.68168193,5.0,2.6212096,0.20517088,False
1,76835.0,73825.0,0,61.0,14.0,291.0848,271.0,243.43495,3.1996014,274.96866,0.0,0.0,20.0,111.0,6.201259,0.0,-3.4028235e+38,0.38526082,5.0,2.1835835,0.20643996,False
1,76835.0,77515.0,0,35.0,18.0,289.54123,328.0,270.0,5.710593,330.43942,0.0,71.0,80.0,311.0,5.447642,0.0,-3.4028235e+38,0.44812217,3.0,2.3430066,0.18861401,False
1,76835.0,75465.0,0,75.0,26.0,289.3499,306.0,198.43495,2.263636,316.44144,0.0,69.0,70.0,133.0,5.28407,0.0,-3.4028235e+38,0.4423086,5.0,2.3165426,0.18317951,False
1,76835.0,75515.0,0,75.0,26.0,289.3499,307.0,225.0,1.0127505,323.58795,0.0,71.0,70.0,133.0,5.28407,0.0,-3.4028235e+38,0.7231913,5.0,2.3441844,0.1908919,False
